agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10327,2025,86000,86000,reappropriation,14,47.0,2026-27,"49 86,000 ............................................... (re. $86,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10327|2025|86000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10332,2025,98000,98000,reappropriation,14,50.0,2026-27,"51 ... 98,000 ........................................... (re. $98,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10332|2025|98000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10333,2025,745000,745000,reappropriation,14,52.0,2026-27,"54 ... 745,000 ......................................... (re. $745,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10333|2025|745000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10866,2025,122500,122500,reappropriation,14,55.0,2026-27,"58 122,500 ............................................. (re. $122,500)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10866|2025|122500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10867,2025,122500,122500,reappropriation,15,59.0,2026-27,"2 122,500 ............................................. (re. $122,500)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10867|2025|122500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10320,2025,403000,403000,reappropriation,15,3.0,2026-27,"8 403,000 ............................................. (re. $403,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10320|2025|403000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10334,2025,31500,31500,reappropriation,15,9.0,2026-27,"11 ... 31,500 ........................................... (re. $31,500)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10334|2025|31500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10833,2025,1500000,1500000,reappropriation,15,12.0,2026-27,"16 1,500,000 ......................................... (re. $1,500,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10833|2025|1500000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10810,2025,250000,223000,reappropriation,15,17.0,2026-27,"28 in a timely manner (10810) ... 250,000 .............. (re. $223,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10810|2025|250000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10715,2025,1000000,1000000,reappropriation,15,29.0,2026-27,"37 hospice and ethical wills (10715) ... 1,000,000 ... (re. $1,000,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10715|2025|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10735,2025,1000000,1000000,reappropriation,15,38.0,2026-27,"44 state operations (10735) ... 1,000,000 ........... (re. $1,000,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10735|2025|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10716,2025,53000000,53000000,reappropriation,15,45.0,2026-27,"61 York (10716) ... 53,000,000 ...................... (re. $53,000,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10716|2025|53000000|LOCAL ASSISTANCE ACCOUNT - 10000
