approp_id,chapter_year,program,fund,approp_amount,reapprop_amount,enacted_page
21792,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,500000.0,500000,290
21800,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,350000.0,263000,289
21801,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,11500000.0,7910000,290
21804,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,490000.0,490000,291
21833,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,800000.0,800000,290
23306,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,197113000.0,196721000,280
23316,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,2300000.0,2300000,286
23318,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,20000000.0,20000000,292
23319,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,475000.0,475000,290
23320,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,40000.0,40000,291
23346,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,2000000.0,2000000,278
23347,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1125000.0,1125000,291
23348,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,250000.0,250000,291
23349,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,365000.0,365000,291
23351,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,400000.0,400000,291
23356,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,650000.0,650000,291
23375,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,10000000.0,10000000,280
23384,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1900000.0,1900000,286
23386,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,250000.0,250000,291
23387,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,25000000.0,25000000,279
23445,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,14974000.0,9812000,285
23449,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1868000.0,281000,291
55907,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,185000000.0,65219000,280
55928,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,18000000.0,17444000,285
55938,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,17180000.0,17180000,288
55939,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,461000.0,461000,289
55949,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,225000.0,225000,279
55962,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,1200000.0,1200000,284
55964,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,70000000.0,70000000,286
55964,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,3000000.0,3000000,287
