agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21830,2024,24238360,0,appropriation,5,4,2024-25,"herein (21830) .............................. 24,238,360",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21830|2024|24238360
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21830,2024,1107000,0,appropriation,5,6,2024-25,"awards (21830) ............................... 1,107,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21830|2024|1107000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21831,2024,22344000,0,appropriation,5,34,2024-25,"Statistics (21831) .......................... 22,344,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21831|2024|22344000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21832,2024,46896420,0,appropriation,5,43,2024-25,"(21832) ..................................... 46,896,420",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21832|2024|46896420
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21832,2024,2142000,0,appropriation,5,45,2024-25,"program awards (21832) ....................... 2,142,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21832|2024|2142000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21834,2024,20871680,0,appropriation,5,47,2024-25,"(STEP) awards (21834) ....................... 20,871,680",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21834|2024|20871680
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21834,2024,954000,0,appropriation,5,49,2024-25,"program (STEP) awards (21834) .................. 954,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21834|2024|954000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21835,2024,15816390,0,appropriation,5,51,2024-25,"program (CSTEP) awards (21835) .............. 15,816,390",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21835|2024|15816390
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21835,2024,723000,0,appropriation,6,6,2024-25,"programs (21835) ............................... 723,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21835|2024|723000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21837,2024,450000,0,appropriation,6,8,2024-25,"(21837) ........................................ 450,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21837|2024|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,55913,2024,7920000,0,appropriation,6,41,2024-25,"community colleges as appropriate (55913) .... 7,920,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55913|2024|7920000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,55913,2024,362000,0,appropriation,6,43,2024-25,"foster youth initiative (55913) ................ 362,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55913|2024|362000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21838,2024,941000,0,appropriation,6,48,2024-25,"(21838) ........................................ 941,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21838|2024|941000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Other,Love Your Library Account - 22119,21785,2024,368000,0,appropriation,6,52,2024-25,"25 school year (21785) ......................... 368,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21785|2024|368000
