agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,DHCR Mortgage Servicing Account - 22085,31448,2024,3415000,2259000,reappropriation,514,28.0,2025-26,"39 Personal service--regular (50100) ... 3,415,000 ..... (re. $2,259,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2024|3415000|DHCR MORTGAGE SERVICING ACCOUNT - 22085
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,DHCR Mortgage Servicing Account - 22085,31448,2023,3415000,1711000,reappropriation,515,46.0,2025-26,"11 Personal service--regular (50100) ... 3,415,000 ..... (re. $1,711,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2023|3415000|DHCR MORTGAGE SERVICING ACCOUNT - 22085
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,DHCR Mortgage Servicing Account - 22085,31448,2022,3415000,2224000,reappropriation,515,18.0,2025-26,"29 Personal service--regular (50100) ... 3,415,000 ..... (re. $2,224,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2022|3415000|DHCR MORTGAGE SERVICING ACCOUNT - 22085
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,DHCR Mortgage Servicing Account - 22085,31448,2021,3415000,1729000,reappropriation,515,36.0,2025-26,"47 Personal service--regular (50100) ... 3,415,000 ..... (re. $1,729,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2021|3415000|DHCR MORTGAGE SERVICING ACCOUNT - 22085
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2020,3415000,1539000,reappropriation,516,4.0,2025-26,"15 Personal service--regular (50100) ... 3,415,000 ..... (re. $1,539,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2020|3415000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2019,3415000,1209000,reappropriation,516,22.0,2025-26,"33 Personal service--regular (50100) ... 3,415,000 ..... (re. $1,209,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2019|3415000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2024,2580000,1499000,reappropriation,516,43.0,2025-26,"47 Personal service--regular (50100) ... 2,580,000 ..... (re. $1,499,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2024|2580000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2023,2580000,774000,reappropriation,517,7.0,2025-26,"11 Personal service--regular (50100) ... 2,580,000 ....... (re. $774,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2023|2580000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2022,2580000,1849000,reappropriation,517,19.0,2025-26,"23 Personal service--regular (50100) ... 2,580,000 ..... (re. $1,849,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2022|2580000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2021,2580000,788000,reappropriation,517,31.0,2025-26,"35 Personal service--regular (50100) ... 2,580,000 ....... (re. $788,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2021|2580000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Low Income Housing Monitoring Account - 22130,31448,2020,2580000,349000,reappropriation,517,43.0,2025-26,"47 Personal service--regular (50100) ... 2,580,000 ....... (re. $349,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2020|2580000|LOW INCOME HOUSING MONITORING ACCOUNT - 22130
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Federal,Department of Energy Weatherization Account - 25499,31448,2019,2580000,774000,reappropriation,518,7.0,2025-26,"11 Personal service--regular (50100) ... 2,580,000 ....... (re. $774,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31448|2019|2580000|DEPARTMENT OF ENERGY WEATHERIZATION ACCOUNT - 25499
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Federal,Department of Energy Weatherization Account - 25499,31446,2024,1543000,1290000,reappropriation,518,23.0,2025-26,"28 Personal service (50000) ... 1,543,000 .............. (re. $1,290,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2024|1543000|DEPARTMENT OF ENERGY WEATHERIZATION ACCOUNT - 25499
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Federal,Department of Energy Weatherization Account - 25499,31446,2023,11543000,10351000,reappropriation,518,32.0,2025-26,"37 Personal service (50000) ... 11,543,000 ............ (re. $10,351,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2023|11543000|DEPARTMENT OF ENERGY WEATHERIZATION ACCOUNT - 25499
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Federal,Department of Energy Weatherization Account - 25499,31446,2022,1543000,634000,reappropriation,518,41.0,2025-26,"44 Personal service (50000) ... 1,543,000 ................ (re. $634,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2022|1543000|DEPARTMENT OF ENERGY WEATHERIZATION ACCOUNT - 25499
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Account - 22158,31446,2021,2543000,1781000,reappropriation,519,2.0,2025-26,"5 Personal service (50000) ... 2,543,000 .............. (re. $1,781,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2021|2543000|RENT REVENUE ACCOUNT - 22158
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Account - 22158,31446,2020,1543000,958000,reappropriation,519,9.0,2025-26,"13 Personal service (50000) ... 1,543,000 ................ (re. $958,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2020|1543000|RENT REVENUE ACCOUNT - 22158
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Account - 22158,31446,2019,2543000,1881000,reappropriation,519,17.0,2025-26,"20 Personal service (50000) ... 2,543,000 .............. (re. $1,881,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31446|2019|2543000|RENT REVENUE ACCOUNT - 22158
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Account - 22158,31442,2024,533000,243000,reappropriation,519,28.0,2025-26,"34 Personal service--regular (50100) ... 533,000 ......... (re. $243,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2024|533000|RENT REVENUE ACCOUNT - 22158
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Account - 22158,31442,2023,533000,260000,reappropriation,519,40.0,2025-26,"44 Personal service--regular (50100) ... 533,000 ......... (re. $260,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2023|533000|RENT REVENUE ACCOUNT - 22158
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2022,533000,400000,reappropriation,520,3.0,2025-26,"7 Personal service--regular (50100) ... 533,000 ......... (re. $400,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2022|533000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2021,533000,273000,reappropriation,520,10.0,2025-26,"14 Personal service--regular (50100) ... 533,000 ......... (re. $273,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2021|533000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2020,533000,281000,reappropriation,520,18.0,2025-26,"22 Personal service--regular (50100) ... 533,000 ......... (re. $281,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2020|533000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2024,30451000,14074000,reappropriation,521,29.0,2025-26,"1 Personal service--regular (50100) ... 30,451,000 ... (re. $14,074,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2024|30451000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2024,2713000,1221000,reappropriation,521,9.0,2025-26,"21 Personal service--regular (50100) ... 2,713,000 ..... (re. $1,221,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2024|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2023,28250000,5032000,reappropriation,521,29.0,2025-26,"48 Personal service--regular (50100) ... 28,250,000 .... (re. $5,032,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2023|28250000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2023,2713000,385000,reappropriation,522,5.0,2025-26,"16 Personal service--regular (50100) ... 2,713,000 ....... (re. $385,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2023|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2022,28250000,4316000,reappropriation,522,24.0,2025-26,"43 Personal service--regular (50100) ... 28,250,000 .... (re. $4,316,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2022|28250000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2022,2713000,361000,reappropriation,523,1.0,2025-26,"13 Personal service--regular (50100) ... 2,713,000 ....... (re. $361,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2022|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2021,26250000,1945000,reappropriation,523,21.0,2025-26,"40 Personal service--regular (50100) ... 26,250,000 .... (re. $1,945,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2021|26250000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2021,2713000,508000,reappropriation,524,48.0,2025-26,"9 Personal service--regular (50100) ... 2,713,000 ....... (re. $508,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2021|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2020,26250000,678000,reappropriation,524,16.0,2025-26,"35 Personal service--regular (50100) ... 26,250,000 ...... (re. $678,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2020|26250000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2020,2713000,426000,reappropriation,525,43.0,2025-26,"4 Personal service--regular (50100) ... 2,713,000 ....... (re. $426,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2020|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,31442,2019,28597000,6795000,reappropriation,525,11.0,2025-26,"31 Personal service--regular (50100) ... 28,597,000 .... (re. $6,795,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2019|28597000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,Special Revenue Funds - Other,Rent Revenue Other Account - 22156,30918,2019,2713000,627000,reappropriation,525,38.0,2025-26,"50 Personal service--regular (50100) ... 2,713,000 ....... (re. $627,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|30918|2019|2713000|RENT REVENUE OTHER ACCOUNT - 22156
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,General Fund,State Purposes Account - 10050,31442,2018,22308000,15000,reappropriation,526,6.0,2025-26,"26 Personal service--regular (50100) ... 22,308,000 ....... (re. $15,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|31442|2018|22308000|STATE PURPOSES ACCOUNT - 10050
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,3082000,1342000,reappropriation,526,36.0,2025-26,"44 Personal service--regular (50100) ... 3,082,000 ..... (re. $1,342,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2024|3082000|STATE PURPOSES ACCOUNT - 10050
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2024,2697000,1021000,reappropriation,527,5.0,2025-26,"23 Personal service--regular (50100) ... 2,697,000 ..... (re. $1,021,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2024|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2023,2697000,534000,reappropriation,527,29.0,2025-26,"47 Personal service--regular (50100) ... 2,697,000 ....... (re. $534,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2023|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2022,2697000,568000,reappropriation,528,4.0,2025-26,"22 Personal service--regular (50100) ... 2,697,000 ....... (re. $568,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2022|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2021,2697000,368000,reappropriation,528,28.0,2025-26,"46 Personal service--regular (50100) ... 2,697,000 ....... (re. $368,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2021|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2020,2697000,323000,reappropriation,529,2.0,2025-26,"20 Personal service--regular (50100) ... 2,697,000 ....... (re. $323,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2020|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
DIVISION OF HOUSING AND COMMUNITY RENEWAL,STATE OPERATIONS,special revenue funds - federal,Housing Indirect Cost Recovery Account - 22090,81001,2019,2697000,126000,reappropriation,529,26.0,2025-26,"45 Personal service--regular (50100) ... 2,697,000 ....... (re. $126,000)",STOPS 25-26.pdf,False,,DIVISION OF HOUSING AND COMMUNITY RENEWAL|81001|2019|2697000|HOUSING INDIRECT COST RECOVERY ACCOUNT - 22090
STATE OF NEW YORK MORTGAGE AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,45603,2025,39800000,0,appropriation,530,19.0,2025-26,"made available (45603) ...................... 39,800,000",STOPS 25-26.pdf,False,,STATE OF NEW YORK MORTGAGE AGENCY|45603|2025|39800000|STATE PURPOSES ACCOUNT - 10050
STATE OF NEW YORK MORTGAGE AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,45604,2025,22000000,0,appropriation,530,43.0,2025-26,"priation is made available (45604) .......... 22,000,000",STOPS 25-26.pdf,False,,STATE OF NEW YORK MORTGAGE AGENCY|45604|2025|22000000|STATE PURPOSES ACCOUNT - 10050
STATE OF NEW YORK MORTGAGE AGENCY,STATE OPERATIONS,General Fund,State Purposes Account - 10050,45605,2025,15000000,0,appropriation,531,34.0,2025-26,"priation is made available (45605) .......... 15,000,000",STOPS 25-26.pdf,False,,STATE OF NEW YORK MORTGAGE AGENCY|45605|2025|15000000|STATE PURPOSES ACCOUNT - 10050
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2024,2066000,2066000,reappropriation,535,5.0,2025-26,"8 Personal service (50000) ... 2,066,000 .............. (re. $2,066,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2024|2066000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2023,2066000,266000,reappropriation,535,12.0,2025-26,"17 Personal service (50000) ... 2,066,000 ................ (re. $266,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2023|2066000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2022,3006000,3006000,reappropriation,535,22.0,2025-26,"27 3,006,000 ......................................... (re. $3,006,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2022|3006000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2021,966000,966000,reappropriation,535,30.0,2025-26,"34 Personal service (50000) ... 966,000 .................. (re. $966,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2021|966000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2020,766000,766000,reappropriation,535,36.0,2025-26,"40 Personal service (50000) ... 766,000 .................. (re. $766,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2020|766000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2024,683000,683000,reappropriation,536,1.0,2025-26,"4 Personal service (50000) ... 683,000 .................. (re. $683,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2024|683000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2023,683000,683000,reappropriation,536,8.0,2025-26,"11 Personal service (50000) ... 683,000 .................. (re. $683,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2023|683000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2022,1058000,1058000,reappropriation,536,15.0,2025-26,"19 Personal service (50000) ... 1,058,000 .............. (re. $1,058,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2022|1058000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
DIVISION OF HUMAN RIGHTS,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Equal Employment Opportunity Account - 25447,81001,2021,1108000,1108000,reappropriation,536,22.0,2025-26,"26 Personal service (50000) ... 1,108,000 .............. (re. $1,108,000)",STOPS 25-26.pdf,False,,DIVISION OF HUMAN RIGHTS|81001|2021|1108000|FEDERAL EQUAL EMPLOYMENT OPPORTUNITY ACCOUNT - 25447
JUSTICE CENTER FOR THE PROTECTION,STATE OPERATIONS,Special Revenue Funds - Federal,OT-Education Account - 25203,48928,2024,460000,460000,reappropriation,561,5.0,2025-26,"22 Personal service (50000) ... 460,000 .................. (re. $460,000)",STOPS 25-26.pdf,False,,JUSTICE CENTER FOR THE PROTECTION|48928|2024|460000|OT-EDUCATION ACCOUNT - 25203
JUSTICE CENTER FOR THE PROTECTION,STATE OPERATIONS,Special Revenue Funds - Federal,OT-Education Account - 25203,48928,2023,460000,410000,reappropriation,561,26.0,2025-26,"43 Personal service (50000) ... 460,000 .................. (re. $410,000)",STOPS 25-26.pdf,False,,JUSTICE CENTER FOR THE PROTECTION|48928|2023|460000|OT-EDUCATION ACCOUNT - 25203
JUSTICE CENTER FOR THE PROTECTION,STATE OPERATIONS,Federal Health and Human Services,Federal Health and Human Services Account - 25100,48927,2024,100000,100000,reappropriation,562,3.0,2025-26,"23 Personal service (50000) ... 100,000 .................. (re. $100,000)",STOPS 25-26.pdf,False,,JUSTICE CENTER FOR THE PROTECTION|48927|2024|100000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25100
JUSTICE CENTER FOR THE PROTECTION,STATE OPERATIONS,Federal Health and Human Services,Federal Health and Human Services Account - 25100,48927,2023,100000,100000,reappropriation,562,27.0,2025-26,"47 Personal service (50000) ... 100,000 .................. (re. $100,000)",STOPS 25-26.pdf,False,,JUSTICE CENTER FOR THE PROTECTION|48927|2023|100000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25100
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Administration Account - 25901,34218,2024,150143000,88351000,reappropriation,577,5.0,2025-26,"47 Personal service (50000) ... 150,143,000 ........... (re. $88,351,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2024|150143000|UNEMPLOYMENT INSURANCE ADMINISTRATION ACCOUNT - 25901
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Administration Account - 25901,34218,2023,133810000,1175000,reappropriation,578,1.0,2025-26,"40 Personal service (50000) ... 133,810,000 ............ (re. $1,175,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2023|133810000|UNEMPLOYMENT INSURANCE ADMINISTRATION ACCOUNT - 25901
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Administration Account - 25901,34218,2022,228601000,40283000,reappropriation,579,44.0,2025-26,"33 Personal service (50000) ... 228,601,000 ........... (re. $40,283,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2022|228601000|UNEMPLOYMENT INSURANCE ADMINISTRATION ACCOUNT - 25901
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Control Fund Account - 25903,34218,2021,622372000,447750000,reappropriation,580,37.0,2025-26,"25 Personal service (50000) ... 622,372,000 .......... (re. $447,750,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2021|622372000|UNEMPLOYMENT INSURANCE CONTROL FUND ACCOUNT - 25903
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Control Fund Account - 25903,34218,2024,6528000,5098000,reappropriation,580,32.0,2025-26,"39 Personal service (50000) ... 6,528,000 .............. (re. $5,098,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2024|6528000|UNEMPLOYMENT INSURANCE CONTROL FUND ACCOUNT - 25903
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Reemployment Services Account - 25902,34218,2023,5408000,2665000,reappropriation,581,43.0,2025-26,"1 Personal service (50000) ... 5,408,000 .............. (re. $2,665,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2023|5408000|UNEMPLOYMENT INSURANCE REEMPLOYMENT SERVICES ACCOUNT - 25902
DEPARTMENT OF LABOR,STATE OPERATIONS,Special Revenue Funds - Federal,Unemployment Insurance Reemployment Services Account - 25902,34218,2022,5665000,2515000,reappropriation,581,5.0,2025-26,"12 Personal service (50000) ... 5,665,000 .............. (re. $2,515,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF LABOR|34218|2022|5665000|UNEMPLOYMENT INSURANCE REEMPLOYMENT SERVICES ACCOUNT - 25902
